State,Rule Type,Action Type,Description,Status,Effective Date,Link Text,URL,Hyperlink,Links,Notes,Entry Last Updated
California,Legislation,Product,"Bill would prohibit local governments from issuing vouchers, rebates, or other financial incentives for the use of synthetic grass or artificial turf that contains PFAS.",Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB414,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB414"" target=""_blank"" rel=""noopener"">Bill</a>",SB 414; Amended version of the bill currently before the legislature elimantes PFAS-related language,5/22/2023
California,Legislation,Product,"Bill would ban the manufacture, sale, and distribution of cleaning products that contain PFAS.",Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB727,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB727"" target=""_blank"" rel=""noopener"">Bill</a>",AB 727,3/17/2023
California,Legislation,Product,"Bill would ban the manufacture, sale, and distribution of plastic containers that contain regulated PFAS.",Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1290,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1290"" target=""_blank"" rel=""noopener"">Bill</a>",AB 1290,2/27/2023
California,Legislation,Product,Bill would express the intent of the legislature to enact future legislation that would require notification of PFAS in specified products.,Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1423,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1423"" target=""_blank"" rel=""noopener"">Bill</a>",AB 1423,2/27/2023
California,Legislation,Product,"Bill would amend existing law banning PFAS in cosmetics so that state regulators could exempt an intentionally added PFAS from that prohibition if the state board determines that it has characteristics that are beneficial for California's environmental goals and is not identified as persistent, bioaccumulative, and toxic to the environment.",Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1660,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1660"" target=""_blank"" rel=""noopener"">Bill</a>",AB 1660,2/27/2023
California,Legislation,Product,"Prohibits the manufacture, sale, or distribution of new, not previously owned, juvenile products that contains PFAS at a detectable level above an unspecified amount.",Pending,7/1/2023,Law,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB652,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB652"" target=""_blank"" rel=""noopener"">Law</a>","AB 652; Signed into law Oct. 5, 2021",2/14/2023
California,Legislation,Product,"Law prohibits distribution and sale of food packaging containing ""regulated PFAS"" beginning on Jan. 1, 2023. Certain cookware must disclose presence of PFAS in an online disclosure beginning on Jan. 1, 2023, and on product packaging beginning on Jan. 1, 2024.",In effect,1/1/2023,Law,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1200,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1200"" target=""_blank"" rel=""noopener"">Law</a>","AB 1200; Signed into law on Oct. 5, 2021",2/14/2023
California,Legislation,Product,Bill would state the intent of the legislature to enact legislation that would eliminate PFAS from menstrual products.,Pending,,Bill,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB246,Bill,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB246"" target=""_blank"" rel=""noopener"">Bill</a>",AB 246,2/7/2023
California,Legislation,Product,"Bill would prohibit the manufacture, distribution, or sale of new textile articles that contain regulated PFAS, beginning Jan. 1, 2025, with some exceptions. Sets maximum textile flourine content at 100 parts per million beginning in 2025 and 50 parts per million beginning in 2027.",Pending,1/1/2025,Law,https://leginfo.legislature.ca.gov/faces/billHistoryClient.xhtml?bill_id=202120220AB1817,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billHistoryClient.xhtml?bill_id=202120220AB1817"" target=""_blank"" rel=""noopener"">Law</a>","AB 1817; Signed into law on Sept. 29, 2022",10/11/2022
California,Legislation,Product,Bill would expand existing ban on certain PFAS in cosmetics (going into effect in 2025) to apply to the entire class of PFAS.,Pending,1/1/2025,Law,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2771,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2771"" target=""_blank"" rel=""noopener"">Law</a>","AB 2771; Signed into law on Sept. 29, 2022",9/14/2022
California,Legislation,Product,"Law forbids items advertised as ""compostable"" or ""home compostable"" to be sold in the state if they have a total organic flourine concentration greater than 100 parts per million. The Department of Resources Recycling and Recovery can adopt a different standard if it more effectively limits PFAS.",In effect,10/5/2021,Law,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB1201,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB1201"" target=""_blank"" rel=""noopener"">Law</a>","AB 1201; Signed into law on Oct. 5, 2021",6/22/2022
California,Binding,Product,The Office of Environmental Health Hazard Assessment listed perfluorooctanoic acid (PFOA) as a carcinogen under Proposition 65.,In effect,2/25/2022,State Website,https://oehha.ca.gov/proposition-65/crnr/notice-interested-parties-chemical-listed-effective-february-25-2022-known-state,State Website,"<a href=""https://oehha.ca.gov/proposition-65/crnr/notice-interested-parties-chemical-listed-effective-february-25-2022-known-state"" target=""_blank"" rel=""noopener"">State Website</a>",,5/19/2022
California,Binding,Product,Include treatments containing any perfluoroalkyl or polyfluoroalkyl substances (PFASs) for use on converted textiles or leathers as a Priority Product under the Safer Consumer Products Regulations.,In effect,4/1/2022,Regulation,https://dtsc.ca.gov/regs/final-regulation-listing-treatments-containing-perfluoroalkyl-or-polyfluoroalkyl-substances-for-use-on-converted-textiles-or-leathers-as-a-priority-product/,Regulation,"<a href=""https://dtsc.ca.gov/regs/final-regulation-listing-treatments-containing-perfluoroalkyl-or-polyfluoroalkyl-substances-for-use-on-converted-textiles-or-leathers-as-a-priority-product/"" target=""_blank"" rel=""noopener"">Regulation</a>",Reference number: R-2020-04,4/8/2022
California,Binding,Environment and Product,The Office of Environmental Health Hazard Assessment listed perfluorooctane sulfonic acid (PFOS) and its salts and transformation and degradation precursors as a carcinogen under Proposition 65.,In effect,12/24/2021,Notice,https://oehha.ca.gov/proposition-65/crnr/notice-interested-parties-chemicals-listed-effective-december-24-2021-known,Notice,"<a href=""https://oehha.ca.gov/proposition-65/crnr/notice-interested-parties-chemicals-listed-effective-december-24-2021-known"" target=""_blank"" rel=""noopener"">Notice</a>",,1/7/2022
California,Legislation,Product,"Prohibit class B firefighting foam from being manufactured, or knowingly sold or distributed, and prohibit a person from using in this state, class B firefighting foam to which PFAS chemicals have been intentionally added. ",In effect,1/1/2022,Law,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB1044,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB1044"" target=""_blank"" rel=""noopener"">Law</a>","Signed into law on Sept. 29, 2020",1/3/2022
California,Binding,Product,"As part of sustainable packaging regulation, food service packaging with PFAS in excess of 100 parts per million cannot be considered recyclable.",In effect,12/6/2021,Regulation,https://www.calrecycle.ca.gov/laws/rulemaking/archive/2021/foodservice,Regulation,"<a href=""https://www.calrecycle.ca.gov/laws/rulemaking/archive/2021/foodservice"" target=""_blank"" rel=""noopener"">Regulation</a>",,12/21/2021
California,Binding,Environment,Added 62 PFAS substances to a list of contaminants that wastewater treatment facilities must report when detected.,Pending,1/1/2028,Regulation,https://govt.westlaw.com/calregs/Document/IFEB37400AC68470196E1697F841F861F?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default),Regulation,"<a href=""https://govt.westlaw.com/calregs/Document/IFEB37400AC68470196E1697F841F861F?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default)"" target=""_blank"" rel=""noopener"">Regulation</a>",Ongoing emmissions reporting must begin with 2028 data reported in 2029,11/22/2021
California,Legislation,Product,Products or packaging with PFAS in excess of 100 parts per million or with PFAS that has a functional/technical effect in the product/packaging cannot be considered recyclable.,Pending,1/1/2024,Law,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB343,Law,"<a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB343"" target=""_blank"" rel=""noopener"">Law</a>","SB 343; Signed into law on Oct. 5, 2021",10/7/2021
California,Proposed Action,Product,Include carpets and rugs containing PFAS chemicals as a Priority Product under the Safer Consumer Products Regulations.,In effect,7/1/2021,State Website,https://dtsc.ca.gov/scp/carpets-and-rugs-with-perfluoroalkyl-and-polyfluoroalkyl-substances-pfass/,State Website,"<a href=""https://dtsc.ca.gov/scp/carpets-and-rugs-with-perfluoroalkyl-and-polyfluoroalkyl-substances-pfass/"" target=""_blank"" rel=""noopener"">State Website</a>",,7/30/2021
California,Proposed Action,Environment and Product,"The Office of Environmental Health Hazard Assessment initiated the development of identification materials for the listing of perfluorodecanoic acid (PFDA) and its salts, perfluorohexanesulfonic acid (PFHxS) and its salts, perfluorononanoic acid (PFNA) and its salts, and perfluoroundecanoic acid (PFUnDA) and its salts as developmental and reproductive toxicants under Proposition 65.",Pending,,Notice,https://oal.ca.gov/wp-content/uploads/sites/166/2021/03/2021-Notice-Register-Number-13-Z-March-26-2021-1.pdf,Notice,"<a href=""https://oal.ca.gov/wp-content/uploads/sites/166/2021/03/2021-Notice-Register-Number-13-Z-March-26-2021-1.pdf"" target=""_blank"" rel=""noopener"">Notice</a>","45-day data call in period ended May 10, 2021 ",7/22/2021
California,Binding,Environment,"Proposed setting Public Health Goal levels for PFOA and PFOS in drinking water at 0.007 ppt and 1 ppt, respectively.",Pending,,Announcement,https://oehha.ca.gov/water/crnr/announcement-availability-draft-technical-support-document-and-public-workshop-proposed,Announcement,"<a href=""https://oehha.ca.gov/water/crnr/announcement-availability-draft-technical-support-document-and-public-workshop-proposed"" target=""_blank"" rel=""noopener"">Announcement</a>",Bloomberg Law coverage of latest development: https://news.bloomberglaw.com/pfas-project/california-advances-on-forever-chemical-drinking-water-limits,7/22/2021
California,Proposed Action,Environment,Recommendation from Office of Environmental Health Hazard Assessment to assign a Notification Level to PFBS in drinking water.,Pending,,Recommendation,https://oehha.ca.gov/media/downloads/water/chemicals/nl/pfbsnl121820.pdf,Recommendation,"<a href=""https://oehha.ca.gov/media/downloads/water/chemicals/nl/pfbsnl121820.pdf"" target=""_blank"" rel=""noopener"">Recommendation</a>",Bloomberg Law coverage of latest development: https://news.bloomberglaw.com/environment-and-energy/california-ponders-adding-new-forever-chemical-to-notify-list,1/15/2021
California,Legislation,Product,"Prohibit selling, making, or delivering cosmetics that contain two dozen toxic ingredients, including PFOA, PFOS, PFDA, and PFNA.",Pending,1/1/2025,Law,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2762,Law,"<a href=""http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2762"" target=""_blank"" rel=""noopener"">Law</a>","Signed into law on Sept. 30, 2020",10/1/2020
California,Non-binding guidance,Environment,Establishes Memorandum Accounts for four water utilities that will allow for potential recovery of PFAS-related expenses such as testing and customer notification of high PFAS levels.,In effect,8/6/2020,Resolution,https://aboutblaw.com/Stf,Resolution,"<a href=""https://aboutblaw.com/Stf"" target=""_blank"" rel=""noopener"">Resolution</a>",,8/7/2020
California,Legislation,Environment,Allows the State Water Resources Control Board to order multiple districts at once to test for PFAS and requires water suppliers to notify customers of PFAS.,In effect,1/1/2020,Law,https://www.bloomberglaw.com/document/XAI0MUR4000000,Law,"<a href=""https://www.bloomberglaw.com/document/XAI0MUR4000000"" target=""_blank"" rel=""noopener"">Law</a>",,5/26/2020
California,Non-binding guidance,Environment,Set drinking water notification limits of 5.1ppt for PFOA and 6.5 ppt for PFOS. Limits are non-binding but linked to future drinking water standards.,In effect,8/22/2019,Notification Level Issuance,https://src.bna.com/Ml9,Notification Level Issuance,"<a href=""https://src.bna.com/Ml9"" target=""_blank"" rel=""noopener"">Notification Level Issuance</a>",,5/26/2020
California,Binding,Environment,Set levels of PFOA and PFOS at which suppliers have to notify their governing boards at 5.1 ppt and 6.5 ppt respectively.,In effect,8/1/2019,Media Release,https://aboutblaw.com/Q0w,Media Release,"<a href=""https://aboutblaw.com/Q0w"" target=""_blank"" rel=""noopener"">Media Release</a>",,5/26/2020
California,Binding,Product,Include PFOA and PFOS as chemicals of concern under Safe Drinking Water and Toxic Enforcment Act (Proposition 65) requiring anyone doing business in the state to provide warnings if they knowingly and intentionally expose any individual to the listed substances.,In effect,11/10/2017,Notice,https://aboutblaw.com/QZc,Notice,"<a href=""https://aboutblaw.com/QZc"" target=""_blank"" rel=""noopener"">Notice</a>",,5/26/2020
California,Non-binding guidance,Environment,California is conducting biomonitoring studies to screen for PFAS.,In effect,,State Website,https://biomonitoring.ca.gov/chemicals/chemicals-biomonitored-california,State Website,"<a href=""https://biomonitoring.ca.gov/chemicals/chemicals-biomonitored-california"" target=""_blank"" rel=""noopener"">State Website</a>",,5/26/2020
Colorado,Legislation,Environment,Bill would require oil and gas disposal facilities to report to state regulators any PFAS chemicals present in produced water. It would also require operators to test flowback for PFAS and isolate/dispose of PFAS-containing water.,Pending,,Bill,https://leg.colorado.gov/bills/HB23-1242,Bill,"<a href=""https://leg.colorado.gov/bills/HB23-1242"" target=""_blank"" rel=""noopener"">Bill</a>",HB 1242; The final version of the bill passed by the legislature did not include PFAS reporting and testing requirements,5/22/2023
Colorado,Legislation,Environment,Bill would modify the fee collected for the distribution to the PFAS substances cash fund to mitigate transportation-related environmental hazards.,Pending,,Bill,https://leg.colorado.gov/bills/SB23-280,Bill,"<a href=""https://leg.colorado.gov/bills/SB23-280"" target=""_blank"" rel=""noopener"">Bill</a>",SB 280,5/2/2023
Colorado,Legislation,Product,Expands ban on Class B firefighting foam with intentionally added PFAS. Prohibits use in certain aircraft hangars and requires certification process for facilities or fire departments using or storing PFAS in its operations.,In effect,1/1/2023,Law,https://leg.colorado.gov/bills/hb20-1119,Law,"<a href=""https://leg.colorado.gov/bills/hb20-1119"" target=""_blank"" rel=""noopener"">Law</a>","Signed into law on June 29, 2020",2/14/2023
Colorado,Binding,Environment,"Change to state's ""Primary Drinking Water Regulations"" establish PFAS as target chemicals in wastewater. The designation requires measures to reduce PFAS if present in treated wastewater.",In effect,1/14/2023,Regulation,https://www.sos.state.co.us/CCR/eDocketDetails.do?trackingNum=2022-00297,Regulation,"<a href=""https://www.sos.state.co.us/CCR/eDocketDetails.do?trackingNum=2022-00297"" target=""_blank"" rel=""noopener"">Regulation</a>",5 CCR 1002-11; E-Docket Tracking Number 2022-00297,2/2/2023
Colorado,Legislation,Product,"Law bans sale and distribution of following PFAS-containing products on various timelines. Jan. 1, 2024: carpets/rugs, fabric treatments, food packaging, juvenile products, and oil/gas products. Cookware with PFAS will require disclosure after Jan. 1, 2024. Jan. 1, 2025: cosmetics, indor textile furnishings, indoor upholstered furniture. Jan. 1, 2027: outdoor textile furnishings and outdoor upholstered furniture. Also requires disclosure of PFAS firefighting foam discharges, prohibits discharges in waterways.",Pending,,Bill,https://leg.colorado.gov/bills/HB22-1345,Bill,"<a href=""https://leg.colorado.gov/bills/HB22-1345"" target=""_blank"" rel=""noopener"">Bill</a>","H 1345; Referred to as the ""Perfluoroalkyl and Polyfluoroalkyl Chemicals Consumer Protection Act""; Signed into law on June 3, 2022.",6/9/2022
Colorado,Binding,Environment,"Policy implements and interprets narrative standard provisions in commission's PFAS regulations. Provides guidance on PFAS laboratory testing, monitoring, and cleanup.",In effect,7/14/2020,Policy,https://drive.google.com/file/d/119FjO4GZVaJtw7YFvFqs9pmlwDhDO_eG/view,Policy,"<a href=""https://drive.google.com/file/d/119FjO4GZVaJtw7YFvFqs9pmlwDhDO_eG/view"" target=""_blank"" rel=""noopener"">Policy</a>","Water Quality Control Commission Policy 20-1; Expires July 31, 2025",4/13/2022
Colorado,Legislation,Product,"Bill would require underground oil and gas operations to disclose chemical products, including certifying that they contain no intentionally added PFAS.",Pending,,Bill,https://leg.colorado.gov/bills/HB22-1348,Bill,"<a href=""https://leg.colorado.gov/bills/HB22-1348"" target=""_blank"" rel=""noopener"">Bill</a>",HB 1348,4/6/2022
Colorado,Binding,Product,Requires all persons who store or use Class B firefighting foam containing PFAS to register and obtain a certificate from the Hazardous Materials and Waste Management Division. The regulations also require any person that uses such foams in testing firefighting foam fire systems to capture the spent foam.,In effect,4/14/2021,Regulation,https://www.sos.state.co.us/CCR/eDocketDetails.do?trackingNum=2021-00033,Regulation,"<a href=""https://www.sos.state.co.us/CCR/eDocketDetails.do?trackingNum=2021-00033"" target=""_blank"" rel=""noopener"">Regulation</a>",Regulations are a response to 2020 legislation.,11/22/2021
Colorado,Legislation,Environment and Product,Creation of a fund to identify and mitigate PFAS contamination. Fund also supports a program to purchase and dispose of products containing PFAS. The efforts are funded by a fee on trucks transporting fuel.,In effect,6/29/2020,Law,https://leg.colorado.gov/sites/default/files/2020a_218_signed.pdf,Law,"<a href=""https://leg.colorado.gov/sites/default/files/2020a_218_signed.pdf"" target=""_blank"" rel=""noopener"">Law</a>",,1/6/2021
Colorado,Legislation,Product,Ban on intentionally added PFAS substances in Class B firefighting foam used for testing or training purposes. Also restricts the sale of such foams.,In effect,8/2/2021,Law,https://leg.colorado.gov/bills/hb19-1279,Law,"<a href=""https://leg.colorado.gov/bills/hb19-1279"" target=""_blank"" rel=""noopener"">Law</a>",,5/26/2020
Colorado,Binding,Environment,Combined presence of PFOS and PFOA limited to 0.070 micrograms per liter for an area in the vicinity of Fountain Creek in central El Paso County. The regulation is in response to potential contamination at Peterson Air Force Base.,In effect,6/30/2018,Regulation,https://www.bloomberglaw.com/product/blaw/document/XMHDGGH8,Regulation,"<a href=""https://www.bloomberglaw.com/product/blaw/document/XMHDGGH8"" target=""_blank"" rel=""noopener"">Regulation</a>",,5/26/2020
Colorado,Binding,Environment,Lists PFOA and PFOS as hazardous constitutents in the state's hazardous waste regulations.,In effect,4/14/2018,Regulation,https://www.bloomberglaw.com/product/blaw/document/XL7V65H8,Regulation,"<a href=""https://www.bloomberglaw.com/product/blaw/document/XL7V65H8"" target=""_blank"" rel=""noopener"">Regulation</a>",,5/26/2020
Connecticut,Legislation,Product,"Bill would authorize $30 million in bonds that would fund grants to fire departments to remove PFAS from fire equipment, as well as decontaminate, renovate, and replace affected equipment.",Pending,,Bill,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6070&which_year=2023,Bill,"<a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6070&which_year=2023"" target=""_blank"" rel=""noopener"">Bill</a>",HB 6070,2/2/2023
Connecticut,Legislation,Environment,"Bill would allocate $100,000 to test shellfish for presence of PFAS.",Pending,,Bill,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB402&which_year=2022,Bill,"<a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB402&which_year=2022"" target=""_blank"" rel=""noopener"">Bill</a>",SB 402,4/8/2022
Connecticut,Binding,Environment,"Requires a release that contains per- or polyfluoroalkyl substances in liquid form, and includes chemicals commonly referred to as PFOS, PFOA, PFNA, PFHpA, and PFHxS must be reported. ",In effect,3/4/2022,Regulation,https://eregulations.ct.gov/eRegsPortal/Search/RMRView/PR2017-058,Regulation,"<a href=""https://eregulations.ct.gov/eRegsPortal/Search/RMRView/PR2017-058"" target=""_blank"" rel=""noopener"">Regulation</a>",,3/9/2022
Connecticut,Legislation,Product,Law requires water bottle companies in the state to sample source water and test for PFAS and other unregulted contaminants.,In effect,1/1/2022,Law,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6666&which_year=2021,Law,"<a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6666&which_year=2021"" target=""_blank"" rel=""noopener"">Law</a>",HB 6666,1/3/2022
Connecticut,Legislation,Product,"Law prohibits the use of PFAS in firefighting foams and establishes a take-back program for such products. The law also bans the use of PFAS in food packaging beginning no later than Dec. 31, 2023.",In effect,10/1/2021,Law,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB837&which_year=2021,Law,"<a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB837&which_year=2021"" target=""_blank"" rel=""noopener"">Law</a>",SB 837,7/22/2021
Connecticut,Legislation,Environment,Allocates $1.15 million in grants to municipalities for assesment and remediation of PFAS contamination.,In effect,7/1/2021,Law,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6690&which_year=2021,Law,"<a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6690&which_year=2021"" target=""_blank"" rel=""noopener"">Law</a>",HB 6690,7/2/2021
